,minister,company,country,issue,point,state,year,case,day,good,month,report,time,accord,concern,airline,aviation,flight,safety,mouth,disease
C4-article07.txt,0.06655999954789286,0.0,0.007998926201910958,0.007998926201910958,0.02218666651596429,0.0,0.0,0.007002749633543952,0.0,0.011093333257982145,0.011093333257982145,0.0,0.005500641434342108,0.009283221168213552,0.011093333257982145,0.0,0.0,0.0,0.007002749633543952,0.03327999977394643,0.03327999977394643
C4-article03.txt,0.0,0.05071808638243502,0.0,0.0,0.0,0.0,0.0,0.012752974942388987,0.0,0.020202493087707322,0.0,0.025505949884777973,0.020034856606384266,0.016906028794145007,0.0,0.0,0.0,0.0,0.0,0.08080997235082929,0.10101246543853659
C4-article02.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014005499267087903,0.0,0.0,0.0,0.0,0.011001282868684216,0.0,0.0,0.0,0.0,0.0,0.0,0.06655999954789286,0.2218666651596429
C4-article01.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0519860385419959,0.0,0.0,0.07843079589569227,0.0,0.0,0.06212266624470001,0.0,0.0,0.0,0.0,0.12424533248940002,0.3727359974682
unknown-unknown08.txt,0.0,0.0,0.017395723002214123,0.0,0.024125307279495148,0.0,0.05981280006274914,0.015229280756445099,0.0,0.0,0.024125307279495148,0.015229280756445099,0.035887680037649486,0.0605662584955292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown-unknown09.txt,0.0,0.029848443182007214,0.017146023628976603,0.017146023628976603,0.0,0.0,0.0,0.007505339320161938,0.0,0.011889505501377991,0.0,0.06754805388145746,0.01768627293721482,0.00994948106066907,0.0,0.029848443182007214,0.011889505501377991,0.011889505501377991,0.007505339320161938,0.09511604401102393,0.1426740660165359
unknown-unknown04.txt,0.0,0.0,0.0,0.0,0.023893333171038467,0.0,0.023695070794089085,0.0,0.0,0.0716799995131154,0.0,0.0,0.0,0.01999463020845996,0.023893333171038467,0.0999731510422998,0.09557333268415387,0.09557333268415387,0.07541422682278102,0.0,0.0
unknown-unknown10.txt,0.02686385567338379,0.011240224549620734,0.014527779480227473,0.004842593160075824,0.010073945877518921,0.004995177086321483,0.00666023611509531,0.012718507442544692,0.019670392961836286,0.010073945877518921,0.023505873714210816,0.008479004961696462,0.011655413201416793,0.016860336824431103,0.01678990979586487,0.06744134729772441,0.02686385567338379,0.013431927836691894,0.029676517365937613,0.023505873714210816,0.020147891755037842
unknown-unknown05.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05472214583367988,0.0,0.0,0.08255873252178132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06539228025757896,0.32696140128789475
unknown-unknown07.txt,0.0,0.0,0.0,0.019689664497011594,0.02730666648118682,0.0,0.027080080907530384,0.017237537559492807,0.02285100595252567,0.02730666648118682,0.02730666648118682,0.0,0.0,0.0,0.02730666648118682,0.0,0.0,0.0,0.0,0.0,0.0
unknown-unknown06.txt,0.0,0.0,0.04715156497968565,0.04715156497968565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08255873252178132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06539228025757896,0.19617684077273687
unknown-unknown02.txt,0.024125307279495148,0.020188752831843064,0.0,0.0,0.024125307279495148,0.023925120025099653,0.011962560012549826,0.0,0.0,0.0,0.0,0.015229280756445099,0.0,0.0,0.0,0.10094376415921533,0.07237592183848544,0.09650122911798059,0.0913756845386706,0.0,0.0
unknown-unknown03.txt,0.0,0.013078248689810288,0.0,0.0,0.0,0.01549866265776896,0.00774933132888448,0.00986550891769714,0.013078248689810288,0.0,0.0,0.0,0.00774933132888448,0.0,0.015628343709358495,0.0,0.0,0.015628343709358495,0.00986550891769714,0.0,0.0
unknown-unknown01.txt,0.0,0.011363068533769595,0.009791035350972978,0.0,0.0,0.006733025580834056,0.026932102323336225,0.008571671682589318,0.0,0.0,0.01357872486222951,0.0,0.0,0.02272613706753919,0.0,0.09090454827015676,0.04073617458668853,0.01357872486222951,0.0,0.0,0.0
